Date,Open,High,Low,Close,Adj Close,Volume
2023-01-01,150.00,155.00,149.00,153.00,153.00,1000000
2023-01-02,153.00,158.00,152.00,157.00,157.00,1200000
2023-01-03,157.00,159.00,155.00,156.00,156.00,900000
2023-01-04,156.00,160.00,155.00,159.00,159.00,1100000
2023-01-05,159.00,162.00,158.00,161.00,161.00,1300000
2023-01-06,161.00,163.00,160.00,162.00,162.00,1050000
2023-01-07,162.00,165.00,161.00,164.00,164.00,1400000
2023-01-08,164.00,166.00,163.00,165.00,165.00,1150000
2023-01-09,165.00,168.00,164.00,167.00,167.00,1500000
2023-01-10,167.00,170.00,166.00,169.00,169.00,1600000
2023-01-11,169.00,172.00,168.00,171.00,171.00,1700000
2023-01-12,171.00,173.00,170.00,172.00,172.00,1550000
2023-01-13,172.00,175.00,171.00,174.00,174.00,1800000
2023-01-14,174.00,177.00,173.00,176.00,176.00,1900000
2023-01-15,176.00,178.00,175.00,177.00,177.00,1650000
